# Example FEN positions for testing
# Lines starting with # are comments

# Starting position
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1

# Italian Game
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3

# Sicilian Defense
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq c6 0 3

# Queen's Gambit Declined
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5

# King's Indian Defense
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq - 0 6

# Rook endgame
8/8/4k3/8/8/4K3/8/7R w - - 0 1

# Pawn endgame
8/8/8/3k4/3P4/3K4/8/8 w - - 0 1

# Queen vs Rook endgame
8/8/8/4k3/8/4K3/8/3Q3r w - - 0 1

# Tactical: back rank mate threat
r4rk1/ppp2ppp/2n2n2/2b1p3/2B1P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 10

# Tactical: pin and fork opportunities
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 6
